pais,tipo_energia,total_gerado,unidade
China,Coal,87761.06999999998,TWh
United States of America,Coal,37517.13000000001,TWh
United States of America,Gas,28686.340000000004,TWh
India,Coal,21112.33,TWh
United States of America,Nuclear,19710.650000000005,TWh
Russian Federation (the),Gas,12119.689999999999,TWh
France,Nuclear,10305.76,TWh
Japan,Gas,8864.43,TWh
Japan,Coal,8049.560000000002,TWh
Germany,Coal,6143.76,TWh
South Africa,Coal,5598.03,TWh
South Korea,Coal,4907.21,TWh
Iran (Islamic Republic of),Gas,4682.25,TWh
Russian Federation (the),Nuclear,4474.959999999999,TWh
Russian Federation (the),Coal,4409.16,TWh
China,Nuclear,4314.360000000001,TWh
Australia,Coal,4081.77,TWh
Japan,Nuclear,3844.859999999999,TWh
Mexico,Gas,3743.0899999999992,TWh
South Korea,Nuclear,3704.6799999999985,TWh
Saudi Arabia,Gas,3582.9399999999996,TWh
United Kingdom,Gas,3356.4100000000008,TWh
Italy,Gas,3283.8399999999997,TWh
Poland,Coal,3259.14,TWh
China,Gas,3157.25,TWh
Saudi Arabia,Other Fossil,3067.3,TWh
Taiwan,Coal,3049.95,TWh
Egypt,Gas,2982.1500000000005,TWh
Japan,Other Fossil,2942.2800000000007,TWh
South Korea,Gas,2787.2300000000005,TWh
Germany,Nuclear,2713.8100000000004,TWh
Thailand,Gas,2691.9500000000003,TWh
Indonesia,Coal,2529.05,TWh
Canada,Nuclear,2294.5899999999997,TWh
United Arab Emirates,Gas,2288.4199999999996,TWh
Turkey,Gas,2071.9,TWh
United Kingdom,Coal,2058.31,TWh
Ukraine,Nuclear,1931.39,TWh
Germany,Gas,1878.3,TWh
India,Gas,1863.77,TWh
Canada,Coal,1863.4999999999995,TWh
Turkey,Coal,1815.3799999999994,TWh
Argentina,Gas,1746.0200000000002,TWh
Taiwan,Gas,1711.8899999999999,TWh
Spain,Gas,1677.34,TWh
United Kingdom,Nuclear,1668.3899999999999,TWh
Malaysia,Gas,1623.68,TWh
United States of America,Other Fossil,1580.38,TWh
Sweden,Nuclear,1551.38,TWh
Kazakhstan,Coal,1486.15,TWh
Canada,Gas,1481.37,TWh
Spain,Nuclear,1467.2799999999997,TWh
Netherlands,Gas,1443.8600000000004,TWh
Ukraine,Coal,1320.9899999999998,TWh
Algeria,Gas,1304.14,TWh
Mexico,Other Fossil,1284.0700000000002,TWh
Malaysia,Coal,1242.07,TWh
Viet Nam,Coal,1229.8099999999997,TWh
China,Other Fossil,1171.3300000000002,TWh
Iran (Islamic Republic of),Other Fossil,1162.5300000000002,TWh
Spain,Coal,1103.3599999999997,TWh
Uzbekistan,Gas,1096.26,TWh
Czechia,Coal,1085.1600000000003,TWh
Bangladesh,Gas,1077.41,TWh
Belgium,Nuclear,1061.5800000000002,TWh
Indonesia,Gas,1051.19,TWh
Australia,Gas,1048.28,TWh
Brazil,Gas,1008.0400000000002,TWh
Singapore,Gas,960.5799999999998,TWh
Pakistan,Gas,926.41,TWh
Italy,Other Fossil,888.7500000000001,TWh
Philippines (the),Coal,879.27,TWh
Taiwan,Nuclear,866.43,TWh
Italy,Coal,841.3000000000003,TWh
Iraq,Other Fossil,832.5400000000002,TWh
Kuwait,Other Fossil,825.75,TWh
Qatar,Gas,814.5799999999999,TWh
India,Nuclear,770.5400000000002,TWh
Belarus,Gas,768.1600000000001,TWh
Viet Nam,Gas,754.61,TWh
Thailand,Coal,754.2299999999999,TWh
Israel,Coal,702.59,TWh
Mexico,Coal,699.5699999999999,TWh
Pakistan,Other Fossil,690.0000000000001,TWh
Iraq,Gas,680.7299999999999,TWh
Kuwait,Gas,669.23,TWh
Czechia,Nuclear,669.0699999999998,TWh
Switzerland,Nuclear,633.8899999999999,TWh
France,Gas,631.84,TWh
Serbia,Coal,626.6499999999999,TWh
Oman,Gas,605.56,TWh
Greece,Coal,604.6500000000001,TWh
Finland,Nuclear,600.07,TWh
Bahrain,Gas,596.1800000000001,TWh
Germany,Other Fossil,586.68,TWh
Israel,Gas,583.98,TWh
Netherlands,Coal,576.2499999999999,TWh
Hong Kong,Coal,553.9300000000001,TWh
Belgium,Gas,552.95,TWh
Indonesia,Other Fossil,546.1600000000001,TWh
Nigeria,Gas,545.21,TWh
Russian Federation (the),Other Fossil,517.13,TWh
